Stock,Sector
DAY,Technology
TEL,Technology
FSLR,Technology
JBL,Technology
ADP,Technology
QCOM,Technology
TRMB,Technology
ON,Technology
AAPL,Technology
GRMN,Technology
NTAP,Technology
KEYS,Technology
GDDY,Technology
CTSH,Technology
MU,Technology
CDW,Technology
CRM,Technology
LRCX,Technology
EIX,Utilities
DTE,Utilities
LNT,Utilities
PEG,Utilities
XEL,Utilities
D,Utilities
ETR,Utilities
ED,Utilities
ES,Utilities
NEE,Utilities
WEC,Utilities
AWK,Utilities
EVRG,Utilities
EXC,Utilities
CMS,Utilities
SO,Utilities
PCG,Utilities
PNW,Utilities
NRG,Utilities
CNP,Utilities
FE,Utilities
ATO,Utilities
SRE,Utilities
DUK,Utilities
VST,Utilities
NI,Utilities
AES,Utilities
CEG,Utilities
AEE,Utilities
GEV,Utilities
AEP,Utilities
PPL,Utilities
